,Unnamed: 0,idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family,rxn_smiles,rxn_smiles_random,rxn_smiles_rxnmapper,rxn_smiles_nomapping
389,389,392,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5][O:6][H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3/t4-/m1/s1","InChI=1S/C4H8O2/c1-2-4(6)3-5/h4-6H,2H2,1H3/t4-/m1/s1",79.42297,51.93321,,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5][O:6][H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C@:3]([C:2](=[O:4])[H:9])([O:6][H:12])[H:8])([C:5]([H:10])([H:11])[H:13])([H:7])[H:14]>>[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5][O:6][H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[CH3:1][CH2:2][C@@H:3]([OH:4])[CH:5]=[O:6]>>[CH3:1][CH2:2][C@@H:3]([OH:4])[C:5][OH:6],[C]([C]([C@@]([O][H])([C](=[O])[H])[H])([H])[H])([H])([H])[H]>>[C]([C]([C@@]([O][H])([C][O][H])[H])([H])[H])([H])([H])[H]
390,390,393,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3](=[O:4])[C:5]([O:6][H:13])([H:12])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3/t4-/m1/s1","InChI=1S/C4H8O2/c1-2-4(6)3-5/h5H,2-3H2,1H3",39.50464,-4.12951,,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3](=[O:4])[C:5]([O:6][H:13])([H:12])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:5]([C@:2]([C:3](=[O:6])[H:8])([O:4][H:10])[H:14])([H:7])[H:12])([H:9])([H:11])[H:13]>>[C:1]([C:2]([C:3](=[O:4])[C:5]([O:6][H:13])([H:12])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[CH3:1][CH2:2][C@@H:3]([OH:4])[CH:5]=[O:6]>>[CH3:1][CH2:2][C:3](=[O:4])[CH2:5][OH:6],[C]([C]([C@@]([O][H])([C](=[O])[H])[H])([H])[H])([H])([H])[H]>>[C]([C]([C](=[O])[C]([O][H])([H])[H])([H])[H])([H])([H])[H]
391,391,394,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])[C:2]([H:10])([H:11])[C@:3]([O:4][H:13])([H:12])[C@:5]1([O:6][H:9])[H:14],"InChI=1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3/t4-/m1/s1","InChI=1S/C4H8O2/c5-3-1-2-4(3)6/h3-6H,1-2H2/t3-,4+",86.23674,16.06205,,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]1([H:7])([H:8])[C:2]([H:10])([H:11])[C@:3]([O:4][H:13])([H:12])[C@:5]1([O:6][H:9])[H:14],[C:1]([C:2]([H:10])([H:11])[H:14])([C@:5]([C:3](=[O:6])[H:13])([O:4][H:7])[H:8])([H:9])[H:12]>>[C:1]1([H:7])([H:8])[C:2]([H:10])([H:11])[C@:3]([O:4][H:13])([H:12])[C@:5]1([O:6][H:9])[H:14],[OH:1][C@H:2]([CH2:3][CH3:4])[CH:5]=[O:6]>>[OH:1][C@@H:2]1[CH2:3][CH2:4][C@@H:5]1[OH:6],[C]([C]([C@@]([O][H])([C](=[O])[H])[H])([H])[H])([H])([H])[H]>>[C]1([H])([H])[C]([H])([H])[C@]([O][H])([H])[C@]1([O][H])[H]
392,392,395,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3](=[O:4])[H:12])([C:5](=[O:6])[H:14])[H:11])([H:7])([H:8])[H:9].[H:10][H:13],"InChI=1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3/t4-/m1/s1","InChI=1S/C4H6O2.H2/c1-4(2-5)3-6;/h2-4H,1H3;1H",98.4885,22.34799,,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3](=[O:4])[H:12])([C:5](=[O:6])[H:14])[H:11])([H:7])([H:8])[H:9].[H:10][H:13],[C:1]([C:3]([H:7])([H:13])[H:14])([C@:5]([C:2](=[O:4])[H:11])([O:6][H:9])[H:12])([H:8])[H:10]>>[C:1]([C:2]([C:3](=[O:4])[H:12])([C:5](=[O:6])[H:14])[H:11])([H:7])([H:8])[H:9].[H:10][H:13],[CH3:1][CH2:2][C@@H:3]([OH:4])[CH:5]=[O:6]>>[CH3:1][CH:2]([CH:3]=[O:4])[CH:5]=[O:6].[H:7][H:8],[C]([C]([C@@]([O][H])([C](=[O])[H])[H])([H])[H])([H])([H])[H]>>[C]([C]([C](=[O])[H])([C](=[O])[H])[H])([H])([H])[H].[H][H]
393,393,396,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C@@:3]1([H:12])[O:4][C@:5]1([O:6][H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3/t4-/m1/s1","InChI=1S/C4H8O2/c1-2-3-4(5)6-3/h3-5H,2H2,1H3/t3-,4-/m1/s1",57.60986,20.62465,,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C@@:3]1([H:12])[O:4][C@:5]1([O:6][H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:5]([C:3]([C:2]([H:10])([H:11])[H:12])([H:9])[H:14])([O:4][H:8])[H:13])(=[O:6])[H:7]>>[C:1]([C:2]([C@@:3]1([H:12])[O:4][C@:5]1([O:6][H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[CH3:1][CH2:2][C@@H:3]([OH:4])[CH:5]=[O:6]>>[CH3:1][CH2:2][C@H:3]1[O:4][C@H:5]1[OH:6],[C]([C]([C@@]([O][H])([C](=[O])[H])[H])([H])[H])([H])([H])[H]>>[C]([C]([C@@]1([H])[O][C@]1([O][H])[H])([H])[H])([H])([H])[H]
394,394,397,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[C:3](\[C:5](=[O:6])[H:14])[H:12])[H:11])([H:7])([H:8])[H:9].[O:4]([H:10])[H:13],"InChI=1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3/t4-/m1/s1","InChI=1S/C4H6O.H2O/c1-2-3-4-5;/h2-4H,1H3;1H2/b3-2-;",70.48511,10.48812,"1,3_Insertion_ROR",[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[C:3](\[C:5](=[O:6])[H:14])[H:12])[H:11])([H:7])([H:8])[H:9].[O:4]([H:10])[H:13],[C@@:1]([C:2](=[O:6])[H:12])([C:3]([C:5]([H:7])([H:8])[H:10])([H:11])[H:13])([O:4][H:14])[H:9]>>[C:1](/[C:2](=[C:3](\[C:5](=[O:6])[H:14])[H:12])[H:11])([H:7])([H:8])[H:9].[O:4]([H:10])[H:13],[CH3:1][CH2:2][C@H:3]([CH:4]=[O:5])[OH:6]>>[CH3:1]/[CH:2]=[CH:3]\[CH:4]=[O:5].[OH2:6],[C]([C]([C@@]([O][H])([C](=[O])[H])[H])([H])[H])([H])([H])[H]>>[C](/[C](=[C](\[C](=[O])[H])[H])[H])([H])([H])[H].[O]([H])[H]
395,395,398,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O:1]([C:2]1=[N:3][N:6]1/[C:5](=[N:4]/[H:8])[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-1-5-2(6)4-5/h1,3H,(H,4,6)/b3-1+",81.09744,71.11642,,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O:1]([C:2]1=[N:3][N:6]1/[C:5](=[N:4]/[H:8])[H:9])[H:7],[O:1]([c:5]1[n:4][c:2]([H:9])[n:3]([H:8])[n:6]1)[H:7]>>[O:1]([C:2]1=[N:3][N:6]1/[C:5](=[N:4]/[H:8])[H:9])[H:7],[nH:2]1[cH:3][n:4][c:6]([OH:7])[n:5]1>>[H:1]/[N:2]=[CH:3]/[N:4]1[N:5]=[C:6]1[OH:7],[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O]([C]1=[N][N]1/[C](=[N]/[H])[H])[H]
396,396,399,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O-:1][c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n+:6]1[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",48.94054,10.88184,ketoenol,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O-:1][c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n+:6]1[H:7],[O:1]([c:5]1[n:3][n:6]([H:9])[c:2]([H:7])[n:4]1)[H:8]>>[O-:1][c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n+:6]1[H:7],[OH:1][c:2]1[n:3][nH:4][cH:5][n:6]1>>[O-:1][c:2]1[n:3][nH:4][cH:5][nH+:6]1,[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O-][c]1[n][n]([H])[c]([H])[n+]1[H]
397,397,400,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O:1]([N:3]=[C:2]=[N:6][C:5](=[N:4][H:8])[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-1-4-2-5-6/h1,3,6H",95.79003,65.80356,,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O:1]([N:3]=[C:2]=[N:6][C:5](=[N:4][H:8])[H:9])[H:7],[O:1]([c:2]1[n:3][n:4]([H:9])[c:5]([H:8])[n:6]1)[H:7]>>[O:1]([N:3]=[C:2]=[N:6][C:5](=[N:4][H:8])[H:9])[H:7],[nH:1]1[cH:2][n:3][c:4]([OH:6])[n:5]1>>[NH:1]=[CH:2][N:3]=[C:4]=[N:5][OH:6],[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O]([N]=[C]=[N][C](=[N][H])[H])[H]
398,398,401,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O:1]=[c:2]1[n:3]([H:7])[n:4]([H:8])[c:5]([H:9])[n:6]1,"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",54.24225,8.90537,ketoenol,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O:1]=[c:2]1[n:3]([H:7])[n:4]([H:8])[c:5]([H:9])[n:6]1,[O:1]([c:5]1[n:3][n:4]([H:9])[c:2]([H:8])[n:6]1)[H:7]>>[O:1]=[c:2]1[n:3]([H:7])[n:4]([H:8])[c:5]([H:9])[n:6]1,[OH:1][c:2]1[n:3][cH:4][nH:5][n:6]1>>[O:1]=[c:2]1[n:3][cH:4][nH:5][nH:6]1,[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O]=[c]1[n]([H])[n]([H])[c]([H])[n]1
399,399,402,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[C:5](#[N:6])[H:9].[O:1]([C:2]#[N+:3][N-:4][H:8])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/CH2N2O.CHN/c2-3-1-4;1-2/h2,4H;1H",90.29201,87.31542,,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[C:5](#[N:6])[H:9].[O:1]([C:2]#[N+:3][N-:4][H:8])[H:7],[O:1]([c:2]1[n:4][n:3]([H:8])[c:5]([H:7])[n:6]1)[H:9]>>[C:5](#[N:6])[H:9].[O:1]([C:2]#[N+:3][N-:4][H:8])[H:7],[cH:1]1[n:2][c:5]([OH:6])[n:4][nH:3]1>>[CH:1]#[N:2].[NH-:3][N+:4]#[C:5][OH:6],[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[C](#[N])[H].[O]([C]#[N+][N-][H])[H]
400,400,403,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O:1]([C:2](=[N:3][N:4]([H:8])[H:9])[N+:6]#[C-:5])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c1-4-2(6)5-3/h3H2,(H,5,6)",84.84515,46.23303,,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O:1]([C:2](=[N:3][N:4]([H:8])[H:9])[N+:6]#[C-:5])[H:7],[O:1]([c:5]1[n:3][n:6]([H:9])[c:2]([H:8])[n:4]1)[H:7]>>[O:1]([C:2](=[N:3][N:4]([H:8])[H:9])[N+:6]#[C-:5])[H:7],[cH:1]1[n:2][c:3]([OH:4])[n:5][nH:6]1>>[C-:1]#[N+:2][C:3]([OH:4])=[N:5][NH2:6],[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O]([C](=[N][N]([H])[H])[N+]#[C-])[H]
401,401,404,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O:1]([c:2]1[n:3]([H:8])[n:4][c:5]([H:9])[n:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",47.67728,4.44467,,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O:1]([c:2]1[n:3]([H:8])[n:4][c:5]([H:9])[n:6]1)[H:7],[O:1]([c:5]1[n:4][n:3]([H:7])[c:2]([H:8])[n:6]1)[H:9]>>[O:1]([c:2]1[n:3]([H:8])[n:4][c:5]([H:9])[n:6]1)[H:7],[OH:1][c:2]1[n:3][cH:4][nH:5][n:6]1>>[OH:1][c:2]1[n:3][cH:4][n:5][nH:6]1,[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O]([c]1[n]([H])[n][c]([H])[n]1)[H]
402,402,405,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O:1]([N+:6]1=[C:2]=[N:3][N:4]([H:8])[C-:5]1[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-5-1-3-4-2-5/h1,3,6H",136.11418,85.1717,,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O:1]([N+:6]1=[C:2]=[N:3][N:4]([H:8])[C-:5]1[H:9])[H:7],[O:1]([c:5]1[n:3][n:4]([H:8])[c:2]([H:7])[n:6]1)[H:9]>>[O:1]([N+:6]1=[C:2]=[N:3][N:4]([H:8])[C-:5]1[H:9])[H:7],[OH:1][c:3]1[n:2][cH:6][nH:5][n:4]1>>[OH:1][N+:2]1=[C:3]=[N:4][NH:5][CH-:6]1,[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O]([N+]1=[C]=[N][N]([H])[C-]1[H])[H]
403,403,406,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O:1]([N:6]=[C:2]=[N:3][N:4]([C:5][H:9])[H:8])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c1-3-4-2-5-6/h1,3,6H",165.14534,130.60388,,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O:1]([N:6]=[C:2]=[N:3][N:4]([C:5][H:9])[H:8])[H:7],[O:1]([c:2]1[n:3][c:5]([H:9])[n:4]([H:8])[n:6]1)[H:7]>>[O:1]([N:6]=[C:2]=[N:3][N:4]([C:5][H:9])[H:8])[H:7],[cH:1]1[nH:2][n:3][c:4]([OH:6])[n:5]1>>[CH:1][NH:2][N:3]=[C:4]=[N:5][OH:6],[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O]([N]=[C]=[N][N]([C][H])[H])[H]
404,404,407,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7],[O:1]([C:2]1=[N:6][C:5]([H:8])([H:9])[N:4]=[N:3]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H2,(H,3,6)",48.901,22.50518,,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[n:6]1)[H:7]>>[O:1]([C:2]1=[N:6][C:5]([H:8])([H:9])[N:4]=[N:3]1)[H:7],[O:1]([c:2]1[n:4][c:5]([H:7])[n:3]([H:9])[n:6]1)[H:8]>>[O:1]([C:2]1=[N:6][C:5]([H:8])([H:9])[N:4]=[N:3]1)[H:7],[OH:1][c:2]1[n:3][cH:4][nH:5][n:6]1>>[OH:1][C:2]1=[N:3][CH2:4][N:5]=[N:6]1,[O]([c]1[n][n]([H])[c]([H])[n]1)[H]>>[O]([C]1=[N][C]([H])([H])[N]=[N]1)[H]
405,405,408,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N-:6][N+:2]#[C:3][H:10])([H:7])([H:8])[H:9].[N:4]#[N:5],"InChI=1S/C2H4N4/c1-6-2-3-4-5-6/h2H,1H3","InChI=1S/C2H4N2.N2/c1-3-4-2;1-2/h1H,2H3;",102.36744,12.6658,,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([N-:6][N+:2]#[C:3][H:10])([H:7])([H:8])[H:9].[N:4]#[N:5],[c:1]1([H:8])[n:2][n:4][n:5][n:6]1[C:3]([H:7])([H:9])[H:10]>>[C:1]([N-:6][N+:2]#[C:3][H:10])([H:7])([H:8])[H:9].[N:4]#[N:5],[cH:1]1[n:3]([CH3:4])[n:2][n:6][n:5]1>>[CH:1]#[N+:2][N-:3][CH3:4].[N:5]#[N:6],[C]([n]1[c]([H])[n][n][n]1)([H])([H])[H]>>[C]([N-][N+]#[C][H])([H])([H])[H].[N]#[N]
406,406,409,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:2]=[C:3]([N:4]=[N+:5]=[N-:6])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C2H4N4/c1-6-2-3-4-5-6/h2H,1H3","InChI=1S/C2H4N4/c1-4-2-5-6-3/h2H,1H3",31.02076,15.4656,,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([N:2]=[C:3]([N:4]=[N+:5]=[N-:6])[H:10])([H:7])([H:8])[H:9],[c:1]1([H:8])[n:2]([C:3]([H:7])([H:9])[H:10])[n:6][n:4][n:5]1>>[C:1]([N:2]=[C:3]([N:4]=[N+:5]=[N-:6])[H:10])([H:7])([H:8])[H:9],[CH3:1][n:2]1[cH:3][n:4][n:5][n:6]1>>[CH3:1][N:2]=[CH:3][N:4]=[N+:5]=[N-:6],[C]([n]1[c]([H])[n][n][n]1)([H])([H])[H]>>[C]([N]=[C]([N]=[N+]=[N-])[H])([H])([H])[H]
407,407,410,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:3]1([H:10])[N:2]=[N:6][N:5]=[N:4]1)([H:7])([H:8])[H:9],"InChI=1S/C2H4N4/c1-6-2-3-4-5-6/h2H,1H3","InChI=1S/C2H4N4/c1-2-3-5-6-4-2/h2H,1H3",64.36106,17.17411,,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:3]1([H:10])[N:2]=[N:6][N:5]=[N:4]1)([H:7])([H:8])[H:9],[C:1]([n:2]1[c:3]([H:8])[n:6][n:4][n:5]1)([H:7])([H:9])[H:10]>>[C:1]([C:3]1([H:10])[N:2]=[N:6][N:5]=[N:4]1)([H:7])([H:8])[H:9],[CH3:1][n:3]1[cH:2][n:6][n:5][n:4]1>>[CH3:1][CH:2]1[N:3]=[N:4][N:5]=[N:6]1,[C]([n]1[c]([H])[n][n][n]1)([H])([H])[H]>>[C]([C]1([H])[N]=[N][N]=[N]1)([H])([H])[H]
408,408,411,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:2]=[N+:6]=[N-:5])([H:7])([H:8])[H:9].[C:3](#[N:4])[H:10],"InChI=1S/C2H4N4/c1-6-2-3-4-5-6/h2H,1H3",InChI=1S/CH3N3.CHN/c1-3-4-2;1-2/h1H3;1H,50.60991,24.86748,,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([N:2]=[N+:6]=[N-:5])([H:7])([H:8])[H:9].[C:3](#[N:4])[H:10],[C:1]([n:4]1[c:3]([H:7])[n:5][n:2][n:6]1)([H:8])([H:9])[H:10]>>[C:1]([N:2]=[N+:6]=[N-:5])([H:7])([H:8])[H:9].[C:3](#[N:4])[H:10],[cH:1]1[n:2]([CH3:3])[n:4][n:5][n:6]1>>[CH:1]#[N:2].[CH3:3][N:4]=[N+:5]=[N-:6],[C]([n]1[c]([H])[n][n][n]1)([H])([H])[H]>>[C]([N]=[N+]=[N-])([H])([H])[H].[C](#[N])[H]
409,409,412,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1](=[N+:2]1[C:3]([H:7])([H:10])[N:4]=[N:5][N-:6]1)([H:8])[H:9],"InChI=1S/C2H4N4/c1-6-2-3-4-5-6/h2H,1H3",InChI=1S/C2H4N4/c1-6-2-3-4-5-6/h1-2H2,106.8626,46.6377,,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1](=[N+:2]1[C:3]([H:7])([H:10])[N:4]=[N:5][N-:6]1)([H:8])[H:9],[C:1]([n:2]1[c:3]([H:8])[n:4][n:6][n:5]1)([H:7])([H:9])[H:10]>>[C:1](=[N+:2]1[C:3]([H:7])([H:10])[N:4]=[N:5][N-:6]1)([H:8])[H:9],[CH3:1][n:2]1[cH:3][n:4][n:5][n:6]1>>[CH2:1]=[N+:2]1[CH2:3][N:4]=[N:5][N-:6]1,[C]([n]1[c]([H])[n][n][n]1)([H])([H])[H]>>[C](=[N+]1[C]([H])([H])[N]=[N][N-]1)([H])[H]
410,410,413,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([n:6]1[n:2][c:3]([H:10])[n:4][n:5]1)([H:7])([H:8])[H:9],"InChI=1S/C2H4N4/c1-6-2-3-4-5-6/h2H,1H3","InChI=1S/C2H4N4/c1-6-4-2-3-5-6/h2H,1H3",64.98182,-3.549,,[C:1]([n:2]1[c:3]([H:10])[n:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([n:6]1[n:2][c:3]([H:10])[n:4][n:5]1)([H:7])([H:8])[H:9],[c:1]1([H:9])[n:2]([C:3]([H:7])([H:8])[H:10])[n:5][n:6][n:4]1>>[C:1]([n:6]1[n:2][c:3]([H:10])[n:4][n:5]1)([H:7])([H:8])[H:9],[CH3:1][n:2]1[cH:4][n:3][n:5][n:6]1>>[CH3:1][n:2]1[n:3][cH:4][n:5][n:6]1,[C]([n]1[c]([H])[n][n][n]1)([H])([H])[H]>>[C]([n]1[n][c]([H])[n][n]1)([H])([H])[H]
411,411,414,[O:1]([N:2]=[C:3]1[C:4]([H:8])([H:9])[O:5][C:6]1([H:10])[H:11])[H:7],[O:1]=[N:2][C:3]1([H:7])[C:4]([H:8])([H:9])[O:5][C:6]1([H:10])[H:11],"InChI=1S/C3H5NO2/c5-4-3-1-6-2-3/h5H,1-2H2","InChI=1S/C3H5NO2/c5-4-3-1-6-2-3/h3H,1-2H2",73.7626,14.20081,ketoenol,[O:1]([N:2]=[C:3]1[C:4]([H:8])([H:9])[O:5][C:6]1([H:10])[H:11])[H:7]>>[O:1]=[N:2][C:3]1([H:7])[C:4]([H:8])([H:9])[O:5][C:6]1([H:10])[H:11],[O:1]([N:2]=[C:3]1[C:4]([H:9])([H:11])[O:5][C:6]1([H:7])[H:10])[H:8]>>[O:1]=[N:2][C:3]1([H:7])[C:4]([H:8])([H:9])[O:5][C:6]1([H:10])[H:11],[OH:1][N:2]=[C:3]1[CH2:4][O:5][CH2:6]1>>[O:1]=[N:2][CH:3]1[CH2:4][O:5][CH2:6]1,[O]([N]=[C]1[C]([H])([H])[O][C]1([H])[H])[H]>>[O]=[N][C]1([H])[C]([H])([H])[O][C]1([H])[H]
